start writing
1160 1157.56
1160 1147.93
1156 1157.46
1160 1155.74
1159 1158.77
1158 1140.67
1157 1157.55
1159 1159.65
1158 1158.78
1159 1160.92
1158 1158.48
1158 1158
1158 1159.61
1156 1157.51
1157 1150.31
1159 1159
1160 1160
1160 1146.16
1159 1159
1159 1158.61
1157 1157.12
1157 1158.7
1159 1159
1157 1157.65
1158 1159.23
1157 1157
1157 1157.5
1157 1149.03
1160 1159.35
1160 1160
1159 1148.07
1157 1157.65
1157 1157.76
1157 1157.43
1159 1142.78
1159 1159
1156 1157.7
1159 1158.09
1158 1148.63
1159 1159
1158 1158
1159 1159
1157 1158.13
1159 1159
1160 1158.71
1156 1156.21
1160 1160
1158 1148.81
1159 1159
1160 1155.85
1158 1159.37
1162 1161
1156 1156.43
1160 1150.98
1157 1158.61
1155 1137.93
1157 1151.44
1158 1159.28
1159 1158.83
1160 1160
1160 1148.35
1159 1141.1
1160 1132.8
1159 1159.66
1157 1157.88
1160 1155.7
1159 1158.56
1160 1159.35
1158 1140.63
1158 1158.27
1159 1159
1157 1157
1156 1157.2
1157 1155.71
1161 1161.26
1160 1160.36
1155 1155
1158 1158
1156 1154.71
1154 1150.03
1159 1159
1157 1157.67
1157 1157
1157 1135.48
1158 1158.6
1162 1161.72
1157 1158.94
1158 1158
1159 1118.21
1158 1158
1157 1157
1160 1149.9
1156 1156
1160 1161.45
1159 1159
1159 1159
1161 1160.58
1158 1130.23
1159 1159.61
1159 1159
1159 1159.38
1156 1156.21
1157 1157.21
1161 1132.75
1157 1158.78
1159 1158.98
1157 1158.13
1157 1158.1
1159 1150.84
1156 1157.01
1158 1158.76
1161 1161
1156 1156
1157 1157
1158 1158
1157 1157.52
1159 1150.96
1158 1125
1159 1159.15
1158 1158.43
1157 1155.52
1159 1159
1159 1160.29
1159 1160.32
1157 1158.1
1160 1159.76
1159 1159
1158 1135.61
1158 1158.27
1157 1125.27
1158 1158.04
1158 1158
1159 1159
1162 1158.65
1158 1158.14
1160 1159.7
1160 1159.35
1157 1157.75
1159 1159.61
1160 1149.11
1157 1158.76
1156 1138.55
1158 1158
1158 1156
1158 1151.35
1156 1156.6
1158 1143.79
1158 1158.68
1160 1160
1159 1158.79
1156 1156
1158 1157.35
1157 1139.33
1158 1158
1159 1154.94
1161 1161
1157 1159.58
1157 1158.13
1161 1160.82
1158 1157.69
1158 1157.35
1157 1138.54
1158 1158
1157 1158.29
1159 1159
1158 1159.65
1159 1159.42
1160 1149.39
1158 1158.61
1157 1157
1159 1159.21
1156 1158.15
1158 1158
1157 1157
1155 1156.94
1158 1158
1158 1158
1158 1157.76
1156 1145.49
1156 1156
1159 1159.39
1158 1158.53
1159 1158.76
1158 1140.55
1156 1156
1160 1159.33
1159 1160.94
1159 1159
1159 1158.77
1156 1147.85
1158 1151.55
1157 1157.89
1158 1129.75
1159 1142.77
1157 1129.82
1158 1130.11
1157 1158.51
1159 1159.3
1158 1157.67
1159 1157.71
1158 1158
1159 1159.38
1162 1143.72
1161 1144.34
1158 1158.6
1158 1157.82
1158 1158
1158 1158.65
1158 1120.97
1157 1158.1
1159 1157.56
1160 1160
1157 1156.9
1159 1131.62
1158 1159.94
1157 1146.37
1157 1157
1156 1159.23
1158 1158
1159 1156.61
1156 1156
1159 1156.4
1156 1156
1156 1156
1160 1161.95
1157 1155.5
1156 1156.65
1158 1140.32
1158 1158.65
1156 1157.32
1160 1107.03
1156 1156.75
1155 1156.1
1157 1157.37
1158 1158.43
1159 1160.49
1158 1158.55
1158 1157.94
1157 1152.76
1157 1158.29
1161 1161.65
1159 1158.76
1157 1157
1160 1151.59
1158 1158
1158 1158
1158 1157.26
1159 1159.65
1160 1155.21
1156 1157.65
1158 1158
1161 1161
1160 1160.12
1158 1158
1161 1150.23
1159 1159
1157 1155.71
1157 1139.4
1156 1145.66
1156 1156
1158 1156.15
1159 1159
1157 1158.63
1160 1160
1159 1148.94
1161 1161.57
1159 1160.34
1156 1141.18
1159 1158.88
1157 1157
1160 1160
1158 1146.1
1156 1156
1160 1159.88
1159 1159
1158 1158
1161 1119.66
1158 1155.58
1156 1156
1159 1159.09
1158 1157.35
1157 1158.29
1159 1159.36
1161 1161
1158 1157.35
1161 1151.84
1157 1158.13
1161 1161
1159 1159.64
1160 1135.29
1156 1156.21
1158 1159.94
1159 1158.57
1159 1160.1
1158 1148.94
1159 1159
1158 1159.49
1158 1160.19
1160 1160
1159 1159
1159 1158.85
1156 1138.25
1157 1157
1156 1156.5
1159 1160.29
1158 1160.07
1158 1159.05
1156 1156
1159 1159
1158 1158
1157 1159.39
1156 1156
1158 1117.37
1158 1158
1160 1160
1161 1161
1158 1158.65
1159 1159.08
1160 1156.69
1159 1131.46
1160 1160.58
1159 1158.42
1157 1157
1158 1158.71
1159 1160.13
1157 1157
1159 1159
1157 1158.67
1161 1161
1159 1159
1156 1158.38
1159 1159.4
1160 1159.35
1159 1160.8
1159 1141.48
1157 1158.89
1155 1150.77
1159 1151.7
1160 1160.65
1159 1158.78
1159 1159
1156 1156.05
1158 1158.14
1158 1158.18
1161 1159.71
1160 1160
1159 1144.86
1160 1160.77
1161 1161
1160 1160
1156 1157.01
1159 1136.9
1156 1154.52
1160 1161.29
1158 1158.66
1158 1140.17
1162 1162
1160 1156.02
1161 1160.62
1158 1158
1157 1158.58
1158 1158.8
1157 1157
1159 1159.76
1158 1158
1156 1156
1157 1157.48
1157 1152.83
1158 1158
1157 1159.89
1157 1158.59
1158 1152.89
1158 1126.39
1158 1158
1158 1141.1
1158 1158
1157 1158.94
1158 1159.04
1159 1159.89
1156 1156
1158 1160.19
1159 1159
1160 1160
1160 1160.09
1158 1158.69
1161 1161.26
1159 1160.78
1156 1156.12
1158 1158.76
1159 1160.94
1157 1135.89
1159 1159.67
1158 1153.64
1158 1158.67
1157 1157.65
1159 1141.02
1158 1158.62
1156 1144.51
1158 1139.87
1158 1156.71
1157 1156.38
1155 1155
1158 1159.13
1159 1159.15
1159 1159.48
1160 1158.63
1159 1158.36
1159 1146.38
1158 1159.29
1157 1154.87
1158 1158.56
1159 1159
1157 1158.21
1156 1157.64
1159 1158.79
1159 1159.55
1156 1156
1158 1158
1158 1158
1158 1159.97
1157 1153.27
1159 1159.55
1157 1157.58
1158 1147.93
1158 1145.07
1160 1160.32
1159 1159.73
1158 1159.18
1158 1158
1161 1161
1159 1159
1160 1142.4
1157 1155.77
1158 1159.51
1160 1160.65
1160 1160.21
1159 1159
1160 1160.45
1160 1160.45
1156 1156.18
